Dyad,Round,Player,previous_absent_round,DLIndex,Similarity,Consistency,Joint,Size_visited
251-716,29,251-716PL1,27,0.984375,0.9696969696969697,1.0,1,33
251-716,29,251-716PL2,27,0.984375,1.0,1.0,1,32
251-716,31,251-716PL1,29,0.984375,0.9696969696969697,1.0,1,33
251-716,31,251-716PL2,29,0.984375,1.0,1.0,1,32
251-716,33,251-716PL1,31,0.984375,0.9696969696969697,0.9411764705882353,1,33
251-716,33,251-716PL2,31,0.984375,1.0,1.0,1,32
251-716,36,251-716PL1,33,0.984375,0.9696969696969697,0.9411764705882353,1,33
251-716,36,251-716PL2,33,0.984375,1.0,1.0,1,32
251-716,38,251-716PL1,36,0.984375,0.9696969696969697,1.0,1,33
251-716,38,251-716PL2,36,0.984375,1.0,1.0,1,32
251-716,39,251-716PL1,38,0.984375,0.9696969696969697,0.9411764705882353,1,33
251-716,39,251-716PL2,38,0.984375,1.0,1.0,1,32
251-716,40,251-716PL1,39,0.96875,0.9696969696969697,0.9411764705882353,2,33
251-716,40,251-716PL2,39,0.96875,0.9696969696969697,0.9696969696969697,2,33
251-716,43,251-716PL1,40,1.0,1.0,0.9696969696969697,0,32
251-716,43,251-716PL2,40,1.0,1.0,0.9696969696969697,0,32
251-716,48,251-716PL1,43,1.0,1.0,1.0,0,32
251-716,48,251-716PL2,43,1.0,1.0,1.0,0,32
251-716,49,251-716PL1,48,1.0,1.0,1.0,0,32
251-716,49,251-716PL2,48,1.0,1.0,1.0,0,32
251-716,52,251-716PL1,49,1.0,1.0,1.0,0,32
251-716,52,251-716PL2,49,1.0,1.0,1.0,0,32
251-716,56,251-716PL1,52,1.0,1.0,1.0,0,32
251-716,56,251-716PL2,52,1.0,1.0,1.0,0,32
251-716,57,251-716PL1,56,1.0,1.0,1.0,0,32
251-716,57,251-716PL2,56,1.0,1.0,1.0,0,32
251-716,59,251-716PL1,57,1.0,1.0,1.0,0,32
251-716,59,251-716PL2,57,1.0,1.0,1.0,0,32
251-716,60,251-716PL1,59,1.0,1.0,1.0,0,32
251-716,60,251-716PL2,59,1.0,1.0,1.0,0,32
261-970,4,261-970PL1,,0.484375,1.0,,33,64
261-970,4,261-970PL2,,0.484375,0.515625,,33,33
261-970,6,261-970PL1,4,0.578125,1.0,1.0,27,64
261-970,6,261-970PL2,4,0.578125,0.421875,0.3333333333333333,27,27
261-970,7,261-970PL1,6,0.640625,1.0,1.0,23,64
261-970,7,261-970PL2,6,0.640625,0.3783783783783784,0.47058823529411764,23,23
261-970,9,261-970PL1,7,0.734375,1.0,1.0,17,64
261-970,9,261-970PL2,7,0.734375,0.265625,0.17647058823529413,17,17
261-970,10,261-970PL1,9,0.625,1.0,1.0,24,64
261-970,10,261-970PL2,9,0.625,0.375,0.28125,24,24
261-970,12,261-970PL1,10,0.4375,0.984375,0.984375,36,63
261-970,12,261-970PL2,10,0.4375,0.578125,0.35555555555555557,36,37
261-970,13,261-970PL1,12,0.515625,1.0,0.984375,31,64
261-970,13,261-970PL2,12,0.515625,0.484375,0.36,31,31
261-970,15,261-970PL1,13,0.71875,1.0,1.0,18,64
261-970,15,261-970PL2,13,0.71875,0.2857142857142857,0.225,18,18
261-970,18,261-970PL1,15,0.625,0.984375,0.984375,23,63
261-970,18,261-970PL2,15,0.625,0.359375,0.1388888888888889,23,23
261-970,23,261-970PL1,18,0.5,1.0,0.984375,32,64
261-970,23,261-970PL2,18,0.5,0.5,0.41025641025641024,32,32
261-970,25,261-970PL1,23,0.671875,1.0,1.0,21,64
261-970,25,261-970PL2,23,0.671875,0.39473684210526316,0.23255813953488372,21,21
261-970,28,261-970PL1,25,0.84375,1.0,1.0,10,64
261-970,28,261-970PL2,25,0.84375,0.16666666666666666,0.10714285714285714,10,10
261-970,29,261-970PL1,28,0.734375,1.0,1.0,17,64
261-970,29,261-970PL2,28,0.734375,0.2857142857142857,0.125,17,17
261-970,30,261-970PL1,29,0.5625,1.0,1.0,28,64
261-970,30,261-970PL2,29,0.5625,0.5555555555555556,0.36363636363636365,28,28
261-970,31,261-970PL1,30,0.296875,0.4473684210526316,0.296875,8,19
